abandon	bỏ rơi
campaign	chiến dịch
candle	nến
candy	kẹo
capital	thủ đô
capture	bắt giữ
care	chăm sóc
carrot	cà rốt
carry	mang
cascade	thác nước
cat	mèo
caterpillar	sâu bướm
celebrate	tổ chức
cell	điện tử
ceremony	nghi lễ
champion	nhà vô địch
change	thay đổi
characteristic	đặc điểm
charity	từ thiện
charm	quyến rũ
chase	đuổi theo
cheer	vỗ tay
chocolate	sô cô la
church	nhà thờ
circle	hình tròn
citizen	công dân
clean	làm sạch
climb	leo lên
clock	đồng hồ
cloud	đám mây
clover	bồ công anh
coconut	dừa
code	mã
coffee	cà phê
combine	kết hợp
comfort	thoải mái
command	lệnh
contact	liên lạc
correct	Chính xác
dandelion	bồ công anh
dandelion	bồ công anh
dandelion	bồ công anh
danger	nguy hiểm
dangerous	nguy hiểm
dare	thách thức
dark	tối
data	dữ liệu
data	dữ liệu
date	ngày
daughter	con gái
dawn	bình minh
day	ngày
dazzle	làm chói lọi
dazzle	làm chói lọi
dazzle	làm chói lọi
dear	thân thiết
debate	tranh luận
debt	nợ
decide	quyết định
decipher	giải mã
decipher	giải mã
declare	tuyên bố
decorate	trang trí
deep	sâu
defend	bảo vệ
define	định nghĩa
delicate	tinh tế
delicate	tinh tế
delight	niềm vui
delirious	mê loạn
delirious	mê loạn
deliver	giao hàng
demand	đòi hỏi
dentist	nha sĩ
depart	rời khỏi
depend	phụ thuộc
depict	miêu tả
depict	miêu tả
deplore	than phiền
deplore	than phiền
deploy	triển khai
deploy	triển khai
depot	kho hàng
depot	kho hàng
deputy	phó
deputy	phó
derail	làm trật đường ray
derail	làm trật đường ray
describe	mô tả
desire	mong muốn
destroy	phá hủy
detail	chi tiết
deter	ngăn chặn
deter	ngăn chặn
devalue	làm giảm giá trị
devalue	làm giảm giá trị
develop	phát triển
deviate	lạc lõng
deviate	lạc lõng
device	thiết bị
devote	hiến dâng
devote	hiến dâng
devour	nuốt chửng
devour	nuốt chửng
dialogue	đối thoại
dialogue	đối thoại
diamond	kim cương
diamond	kim cương
diamond	kim cương
dice	xúc xắc
dice	xúc xắc
dictate	ra lệnh
dictate	ra lệnh
dictionary	từ điển
different	khác nhau
difficult	khó khăn
diligent	siêng năng
diligent	siêng năng
dim	mờ
dim	mờ
dine	ăn tối
dine	ăn tối
dinner	bữa tối
dip	ngâm
dip	ngâm
direct	hướng dẫn
discard	vứt bỏ
discard	vứt bỏ
discover	khám phá
discover	khám phá
discover	khám phá
disease	bệnh tật
disguise	ngụy trang
disguise	ngụy trang
dislike	không thích
dislike	không thích
dismiss	sa thải
dismiss	sa thải
display	hiển thị
distance	khoảng cách
distant	xa xôi
distant	xa xôi
district	Quận
divine	thần thánh
divine	thần thánh
divine	thần thánh
doctor	bác sĩ
document	tài liệu
dodge	né tránh
dodge	né tránh
dolphin	cá heo
dolphin	cá heo
domain	lĩnh vực
donate	quyên góp
donkey	con lừa
donkey	con lừa
door	cửa
door	cửa
dose	liều
double	gấp đôi
double	gấp đôi
dragon	rồng
dream	mơ
dream	mơ
dream	mơ
dress	váy
dress	váy
drift	trôi dạt
drink	uống
drink	uống
drink	uống
drive	lái xe
drive	lái xe
drive	lái xe
drop	rơi
drop	rơi
drop	rơi
drown	chết đuối
drown	chết đuối
drown	chết đuối
drug	thuốc
drug	thuốc
drum	trống
dry	khô
duck	vịt
duel	đấu kiếm
duet	hòa tấu
duke	công tước
duke	công tước
duke	công tước
dumb	câm
dust	bụi
dust	bụi
dust	bụi
duty	nhiệm vụ
dynamic	năng động
dynamic	năng động
dynamic	năng động
dynamite	thuốc nổ
dynamo	máy phát điện
dynamo	máy phát điện
dynamo	máy phát điện
easy	dễ dàng
education	giáo dục
effect	hiệu ứng
efficient	hiệu quả
electric	điện
elegant	thanh lịch
element	yếu tố
elephant	voi
elevator	thang máy
embark	bắt đầu
embrace	ôm
emerge	nổi lên
emotional	xúc cảm
empire	đế chế
employ	sử dụng
empty	trống rỗng
enable	kích hoạt
encounter	gặp gỡ
endure	chịu đựng
energy	năng lượng
enforce	áp đặt
engage	tham gia
enjoy	thưởng thức
enlarge	phóng to
enlighten	làm sáng tỏ
enrich	làm giàu
ensure	đảm bảo
entertain	giải trí
enthusiasm	hăng hái
entire	toàn bộ
environment	môi trường
envision	tưởng tượng
ephemeral	thoáng qua
equator	xích đạo
equipment	thiết bị
erase	xóa
escape	thoát khỏi
essence	bản chất
establish	thiết lập
eternal	vĩnh cửu
ethics	đạo đức
evaluate	đánh giá
evoke	gợi lên
evolve	tiến hóa
examine	kiểm tra
exceed	vượt qua
excellent	xuất sắc
excite	làm hứng thú
execute	thực hiện
exhaustion	kiệt sức
expand	mở rộng
expect	mong đợi
explore	khám phá
express	diễn đạt
extend	mở rộng
extraordinary	phi thường
extreme	cực kỳ
eyebrow	lông mày
fabulous	tuyệt vời
facade	bề ngoài
facility	cơ sở vật chất
faction	phe phái
factor	yếu tố
faint	nhạt nhòa
fair	công bằng
faith	tín ngưỡng
faithful	trung thành
fake	giả mạo
familiar	quen thuộc
fancy	tưởng tượng
fantastic	tuyệt vời
fantasy	tưởng tượng
far	xa
faraway	xa xôi
fashion	thời trang
fashionable	hợp thời trang
fast	nhanh
fateful	định mệnh
favor	ưu ái
fear	nỗi sợ
fearful	đầy sợ hãi
feast	tiệc lớn
feather	lông vũ
feature	đặc điểm
feeble	yếu đuối
feline	thuộc loài mèo
fellow	bạn đồng nghiệp
fertile	màu mỡ
fertile	màu mỡ
festive	vui tươi
fiction	hư cấu
fierce	hung dữ
fierce	hung dữ
fiery	rực lửa
fig	hạt sung
figure	hình dáng
filter	bộ lọc
filthy	bẩn thỉu
final	cuối cùng
final	cuối cùng
finance	tài chính
fireplace	lò sưởi
firm	cứng
flame	ngọn lửa
flavor	hương vị
flexible	linh hoạt
flexible	linh hoạt
float	nổi
floral	hoa văn
floral	hoa văn
fluent	lưu loát
fluent	lưu loát
focus	tập trung
focus	tập trung
forever	mãi mãi
forgive	tha thứ
form	hình thức
fortunate	may mắn
fortune	vận may
foster	nuôi dưỡng
fragile	mong manh
fragile	mong manh
frequent	thường xuyên
frequent	thường xuyên
friend	bạn bè
friendship	tình bạn
frost	băng giá
frost	băng giá
fulfill	đáp ứng
fulfill	đáp ứng
fundamental	cơ bản
fundamental	cơ bản
funny	buồn cười
funny	buồn cười
furious	giận dữ
future	tương lai
future	tương lai
galaxy	dải ngân hà
garden	vườn
gather	tụ tập
gaze	nhìn chằm chằm
gaze	nhìn chằm chằm
gear	hệ thống truyền động
general	tổng quát
general	tổng quát
generate	tạo ra
generate	tạo ra
gentle	nhẹ nhàng
genuine	chính hãng
genuine	chính hãng
gesture	cử chỉ
gesture	cử chỉ
ghost	ma
ghost	ma
giant	người khổng lồ
giant	người khổng lồ
gift	quà
gift	quà
giraffe	hươu cao cổ
giraffe	hươu cao cổ
glacier	sông băng
glacier	sông băng
glamorous	quyến rũ
glamorous	quyến rũ
glare	ánh sáng mạnh
glare	ánh sáng mạnh
global	toàn cầu
global	toàn cầu
glow	ánh sáng mờ
glow	ánh sáng mờ
goal	mục tiêu
goal	mục tiêu
golf	gôn
golf	gôn
gorgeous	tuyệt vời
gorgeous	tuyệt vời
gourmet	người sành ăn
gourmet	người sành ăn
grace	ân sủng
grace	ân sủng
graduate	tốt nghiệp
graduate	tốt nghiệp
grand	lớn
grand	lớn
grateful	biết ơn
grateful	biết ơn
gravity	trọng lực
gravity	trọng lực
greet	chào hỏi
greet	chào hỏi
grid	lưới
grid	lưới
grimace	cằm méo
grimace	cằm méo
grin	cười toe toét
grin	cười toe toét
groove	rãnh
groove	rãnh
growl	gầm gừ
growl	gầm gừ
guarantee	đảm bảo
guarantee	đảm bảo
guess	đoán
guess	đoán
guidance	sự hướng dẫn
guidance	sự hướng dẫn
guilty	có tội
guilty	có tội
guitar	đàn guitar
guitar	đàn guitar
gust	gió thổi mạnh
gust	gió thổi mạnh
guy	chàng trai
guy	chàng trai
habit	thói quen
habitual	thường xuyên
habitual	thường xuyên
hair	tóc
haircut	cắt tóc
haircut	cắt tóc
hall	hành lang
hallway	hành lang
hallway	hành lang
hammer	cái búa
hammer	cái búa
hammer	cái búa
hand	tay
handbag	túi xách
handbag	túi xách
handle	xử lý
handle	xử lý
happy	hạnh phúc
happy	hạnh phúc
harbor	cảng
harbor	cảng
hard	khó khăn
hard	khó khăn
harvest	thu hoạch
harvest	thu hoạch
haste	sự vội vã
haste	sự vội vã
hat	mũ
hat	mũ
heal	chữa lành
heal	chữa lành
healthy	khỏe mạnh
healthy	khỏe mạnh
heart	trái tim
heart	trái tim
heaven	thiên đàng
heaven	thiên đàng
height	chiều cao
height	chiều cao
hero	anh hùng
hero	anh hùng
hide	ẩn nấp
hide	ẩn nấp
highlight	làm nổi bật
highlight	làm nổi bật
hill	đồi
hill	đồi
history	lịch sử
history	lịch sử
hobby	sở thích
hobby	sở thích
hold	giữ
hold	giữ
honest	trung thực
honest	trung thực
honor	vinh dự
honor	vinh dự
hope	hy vọng
hope	hy vọng
horizon	chân trời
horizon	chân trời
horrify	kinh hoàng
horrify	kinh hoàng
horse	ngựa
horse	ngựa
hospital	bệnh viện
hospital	bệnh viện
host	chủ nhà
host	chủ nhà
hot	nóng bức
hot	nóng bức
hotel	khách sạn
hotel	khách sạn
house	nhà
house	nhà
humble	khiêm tốn
humble	khiêm tốn
humor	hài hước
humor	hài hước
hunt	săn
hunt	săn
hurry	vội vã
hurry	vội vã
hurt	làm tổn thương
hurt	làm tổn thương
husband	chồng
husband	chồng
icecream	kem
icon	biểu tượng
icon	biểu tượng
idea	ý tưởng
ideal	lý tưởng
ideal	lý tưởng
identify	nhận diện
idiom	thành ngữ
idiom	thành ngữ
igloo	Căn lều tuyết
ignorant	không biết
ignorant	không biết
ignore	phớt lờ
illness	bệnh tật
illuminate	làm sáng tỏ
illuminate	làm sáng tỏ
illustrate	minh họa
illustration	minh họa
illustration	minh họa
image	hình ảnh
imagine	tưởng tượng
imitate	bắt chước
impact	tác động
impatient	nôn nóng
impatient	nôn nóng
implement	thực hiện
implement	thực hiện
implement	thực hiện
implicit	ngụ ý
implicit	ngụ ý
import	nhập khẩu
importance	quan trọng
importance	quan trọng
impose	áp đặt
impose	áp đặt
improve	cải thiện
improve	cải thiện
improve	cải thiện
inch	inch
inch	inch
incident	sự cố
include	bao gồm
incorporate	tích hợp
incorporate	tích hợp
increase	tăng cường
incredible	đáng kinh ngạc
incredible	đáng kinh ngạc
indeed	thật sự
indicate	chỉ ra
indicate	chỉ ra
indicate	chỉ ra
individual	cá nhân
individual	cá nhân
individual	cá nhân
industry	ngành công nghiệp
industry	ngành công nghiệp
industry	ngành công nghiệp
inevitable	không thể tránh khỏi
inevitable	không thể tránh khỏi
infinite	vô tận
infinite	vô tận
inform	thông báo
information	thông tin
information	thông tin
ingredient	nguyên liệu
ingredient	nguyên liệu
ingredient	nguyên liệu
inhabit	cư trú
inhabit	cư trú
initial	ban đầu
initiate	khởi xướng
initiate	khởi xướng
inject	tiêm
inject	tiêm
innovate	đổi mới
input	đầu vào
inquire	hỏi
inquire	hỏi
insert	chèn
insert	chèn
inspect	kiểm tra
inspect	kiểm tra
inspect	kiểm tra
install	lắp đặt
install	lắp đặt
install	lắp đặt
instance	ví dụ
instance	ví dụ
instance	ví dụ
integrate	tích hợp
integrate	tích hợp
integrate	tích hợp
intellect	trí tuệ
intellect	trí tuệ
intelligent	thông minh
intense	mãnh liệt
intense	mãnh liệt
intense	mãnh liệt
interact	tương tác
interaction	tương tác
interaction	tương tác
interest	sự quan tâm
interest	sự quan tâm
interface	giao diện
interface	giao diện
interpret	phiên dịch
interpret	phiên dịch
interrupt	làm gián đoạn
interrupt	làm gián đoạn
intervene	can thiệp
intervene	can thiệp
introduce	giới thiệu
introduce	giới thiệu
invest	đầu tư
invest	đầu tư
involve	liên quan
involve	liên quan
isolate	cô lập
isolate	cô lập
issue	vấn đề
issue	vấn đề
jacket	áo khoác
jacket	áo khoác
jazz	nhạc jazz
jazz	nhạc jazz
jeans	quần jean
jeans	quần jean
jeep	xe jeep
jeep	xe jeep
jelly	gói nước mâm xôi
jelly	gói nước mâm xôi
jewel	viên ngọc
jewel	viên ngọc
jog	chạy nhẹ nhàng
jog	chạy nhẹ nhàng
joint	khớp
joint	khớp
journal	nhật ký
journal	nhật ký
journey	hành trình
journey	hành trình
judge	thẩm phán
judge	thẩm phán
juice	nước ép
juice	nước ép
jump	nhảy
jump	nhảy
junction	ngã tư
junction	ngã tư
jungle	rừng nhiệt đới
jungle	rừng nhiệt đới
junior	học sinh năm thứ ba
junior	học sinh năm thứ ba
jury	ban giám khảo
jury	ban giám khảo
justify	bào chữa
justify	bào chữa
kangaroo	kanguru
kangaroo	kanguru
kangaroo	kanguru
kangaroo	kanguru
kangaroo	kanguru
kangaroo	kanguru
kettle	ấm đun nước
kettle	ấm đun nước
kettle	ấm đun nước
kettle	ấm đun nước
kettle	ấm đun nước
kettle	ấm đun nước
key	chìa khóa
key	chìa khóa
key	chìa khóa
key	chìa khóa
key	chìa khóa
key	chìa khóa
keyboard	bàn phím
keyboard	bàn phím
keyboard	bàn phím
keyboard	bàn phím
keyboard	bàn phím
keyboard	bàn phím
kiss	hôn
kiss	hôn
kiss	hôn
kiss	hôn
kiss	hôn
kiss	hôn
knee	đầu gối
knee	đầu gối
knee	đầu gối
knee	đầu gối
knee	đầu gối
knee	đầu gối
knife	con dao
knife	con dao
knife	con dao
knife	con dao
knife	con dao
knife	con dao
knight	hiệp sĩ
knight	hiệp sĩ
knight	hiệp sĩ
knight	hiệp sĩ
knight	hiệp sĩ
knight	hiệp sĩ
knit	đan len
knit	đan len
knit	đan len
knit	đan len
knit	đan len
knit	đan len
knock	gõ cửa
knock	gõ cửa
knock	gõ cửa
knock	gõ cửa
knock	gõ cửa
knock	gõ cửa
knot	nút
knot	nút
knot	nút
knot	nút
knot	nút
knot	nút
know	biết
know	biết
know	biết
know	biết
know	biết
know	biết
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
knowledge	kiến thức
koala	gấu túi
koala	gấu túi
koala	gấu túi
koala	gấu túi
koala	gấu túi
koala	gấu túi
labor	lao động
laboratory	phòng thí nghiệm
labyrinth	mê cung
lack	thiếu hụt
lack	of confidence thiếu tự tin
ladder	cái thang
lady	phụ nữ, bà
lake	hồ
lamb	cừu con
lamp	đèn
lamp	post cột đèn đường
land	đất đai
landmark	địa điểm nổi bật
language	ngôn ngữ
language	barrier rào cản ngôn ngữ
large	lớn
last	cuối cùng
last	minute phút cuối cùng
laugh	cười
launch	pad bệ phóng
laundry	giặt ủi
law	pháp luật
law	enforcement thực thi pháp luật
lead	dẫn
lead	role vai chính
leaf	lá
leafy	street phố cây lá
learn	học
lecture	bài giảng
left	trái
leftovers	thức ăn thừa
legend	huyền thoại
leisure	thời gian rảnh rỗi
leisure	time thời gian rảnh rỗi
lemon	chanh
lemonade	nước chanh
lend	cho mượn
length	chiều dài
length	of stay thời gian lưu trú
lesson	bài học
letter	thư
letter	of recommendation thư giới thiệu
level	cấp độ
level	of difficulty mức độ khó khăn
library	thư viện
library	card thẻ thư viện
license	giấy phép
license	plate biển số xe
lie	nằm
lie	detector máy phát hiện nói dối
life	cuộc sống
life	expectancy tuổi thọ
lift	nâng lên
light	ánh sáng
light	pollution ô nhiễm ánh sáng
like	giống như
likeable	dễ mến
limb	cơ thể
limit	giới hạn
limousine	xe limousine
line	dòng
line	of sight đường thẳng nhìn thấy
link	liên kết
linkage	mối liên kết
lion	sư tử
lioness	sư tử cái
lip	môi
lipstick	son môi
liquid	chất lỏng
liquidation	thanh lý
listen	nghe
listener	người nghe
literate	biết chữ
literature	văn học
little	nhỏ
live	sống
liver	gan
living	room phòng khách
load	tải
loan	khoản vay
local	địa phương
local	cuisine ẩm thực địa phương
lock	khóa
locksmith	thợ sửa khóa
log	ghi chép
log	cabin nhà gỗ
loneliness	sự cô đơn
lonely	cô đơn
long	dài
long-distance	relationship mối quan hệ xa cách
look	nhìn
lookalike	người giống hệt
lose	mất
loser	kẻ thất bại
lotion	sữa dưỡng da
loudspeaker	loa
love	yêu
low	thấp
low	tide triều thấp
loyal	trung thành
loyalty	sự trung thành
luck	may mắn
lucky	charm vật may mắn
luggage	hành lý
luggage	rack kệ hành lý
lullaby	bài hát ru
lunar	thuộc về mặt trăng
lunar	calendar lịch âm
lunch	bữa trưa
lunch	break giờ nghỉ trưa
lung	phổi
lung	cancer ung thư phổi
luxury	sang trọng
luxury	hotel khách sạn sang trọng
lyric	lời bài hát
lyrics	lời bài hát
machine	máy móc
magazine	tạp chí
magic	ma thuật
magnet	nam châm
mail	thư
main	chính
major	chủ yếu
make	làm
mall	trung tâm mua sắm
man	người đàn ông
manage	quản lý
mandarin	quả quýt
manipulate	thao tác
mankind	loài người
manner	cách cư xử
manual	sách hướng dẫn
manufacture	sản xuất
map	bản đồ
marble	đá cẩm thạch
march	diễu hành
mark	đánh dấu
market	thị trường
marriage	hôn nhân
master	chủ nhân
match	trận đấu
mate	bạn đồng hành
matter	vấn đề
maximize	tối đa hóa
meal	bữa ăn
mean	có ý nghĩa
measure	đo lường
meat	thịt
mechanism	cơ chế
medal	huy chương
mediate	làm trung gian
medicine	thuốc
medium	trung bình
meet	gặp gỡ
melt	tan chảy
member	thành viên
memory	bộ nhớ
mention	đề cập
menu	thực đơn
merge	hợp nhất
message	tin nhắn
metal	kim loại
meter	đồng hồ đo
method	phương pháp
microphone	micro
midnight	nửa đêm
mile	dặm
military	quân sự
mind	tâm trí
mine	mỏ
minister	bộ trưởng
minority	thiểu số
minute	phút
mirror	gương
miss	nhớ
mission	nhiệm vụ
mistake	lỗi
mix	trộn lẫn
mobile	di động
model	mô hình
moderate	vừa phải
modern	hiện đại
modify	sửa đổi
moment	khoảnh khắc
monitor	theo dõi
monkey	con khỉ
month	tháng
mood	tâm trạng
moon	mặt trăng
morning	buổi sáng
most	hầu hết
mother	mẹ
motion	chuyển động
motivate	động viên
motorcycle	xe máy
mountain	núi
mouse	con chuột
movement	phong trào
movie	bộ phim
multiply	nhân
muscle	cơ
museum	bảo tàng
music	âm nhạc
musical	nhạc kịch
must	phải
mystery	bí mật
name	tên
nap	giấc ngủ trưa
narrate	kể chuyện
narrow	hẹp
nation	quốc gia
natural	tự nhiên
navigate	điều hướng
navigate	điều hướng
near	gần
near	gần
necessary	cần thiết
necessary	cần thiết
neck	cổ
neck	cổ
need	cần
need	cần
negative	tiêu cực
negative	tiêu cực
negotiate	đàm phán
negotiate	đàm phán
neighbor	hàng xóm
neighbor	hàng xóm
neither	cả hai
neither	cả hai
nephew	cháu trai
nephew	cháu trai
nerve	dây thần kinh
nerve	dây thần kinh
nest	tổ
nest	tổ
net	lưới
net	lưới
network	mạng
network	mạng
neutral	trung lập
neutral	trung lập
never	bao giờ không
never	bao giờ không
new	mới
new	mới
news	tin tức
news	tin tức
next	tiếp theo
next	tiếp theo
nice	tốt
nice	tốt
night	đêm
night	đêm
nine	chín
nine	chín
no	không
no	không
noble	quý tộc
noble	quý tộc
noble	quý tộc
noise	tiếng ồn
noise	tiếng ồn
noise	tiếng ồn
nominate	đề cử
nominate	đề cử
nominate	đề cử
nominate	đề cử
none	không ai
none	không ai
none	không ai
none	không ai
noon	trưa
noon	trưa
noon	trưa
noon	trưa
normal	bình thường
normal	bình thường
normal	bình thường
normal	bình thường
north	phía bắc
north	phía bắc
north	phía bắc
north	phía bắc
nose	mũi
nose	mũi
nose	mũi
nose	mũi
not	không
not	không
not	không
not	không
note	ghi chú
note	ghi chú
note	ghi chú
note	ghi chú
nothing	không có gì
nothing	không có gì
nothing	không có gì
nothing	không có gì
notice	chú ý
notice	chú ý
notice	chú ý
notice	chú ý
novel	tiểu thuyết
novel	tiểu thuyết
novel	tiểu thuyết
novel	tiểu thuyết
now	bây giờ
now	bây giờ
now	bây giờ
now	bây giờ
nuclear	hạt nhân
nuclear	hạt nhân
nuclear	hạt nhân
nuclear	hạt nhân
number	số
number	số
number	số
number	số
nurse	y tá
nurse	y tá
nurse	y tá
nurse	y tá
nut	hạt dẻ cười
nut	hạt dẻ cười
nut	hạt dẻ cười
nut	hạt dẻ cười
oak	cây sồi
oak	cây sồi
oath	lời tuyên thệ
oath	lời tuyên thệ
obey	tuân theo
obey	tuân theo
object	đối tượng
object	đối tượng
objective	mục tiêu
objective	mục tiêu
obligate	bắt buộc
obligate	bắt buộc
obscure	mờ mịt
obscure	mờ mịt
observe	quan sát
observe	quan sát
obstacle	chướng ngại vật
obstacle	chướng ngại vật
obtain	đạt được
obtain	đạt được
obvious	rõ ràng
obvious	rõ ràng
occasion	dịp
occasion	dịp
occupy	chiếm đóng
occupy	chiếm đóng
occur	xảy ra
occur	xảy ra
ocean	đại dương
ocean	đại dương
odd	kỳ cục
odd	kỳ cục
offensive	tấn công
offensive	tấn công
offer	đề nghị
offer	đề nghị
office	văn phòng
office	văn phòng
official	chính thức
official	chính thức
often	thường xuyên
often	thường xuyên
oil	dầu
oil	dầu
old	cũ
old	cũ
olympic	Olympic
olympic	Olympic
omit	bỏ sót
omit	bỏ sót
on	trên
on	trên
once	một lần
once	một lần
one	một
one	một
ongoing	tiếp diễn
ongoing	tiếp diễn
onion	củ hành
onion	củ hành
online	trực tuyến
online	trực tuyến
only	chỉ
only	chỉ
open	mở
open	mở
operate	vận hành
operate	vận hành
opinion	ý kiến
opinion	ý kiến
opponent	đối thủ
opponent	đối thủ
opportunity	cơ hội
opportunity	cơ hội
oppose	phản đối
oppose	phản đối
option	lựa chọn
option	lựa chọn
orange	cam
orange	cam
orbit	quỹ đạo
orbit	quỹ đạo
order	đặt hàng
order	đặt hàng
organize	tổ chức
organize	tổ chức
oriental	đông
oriental	đông
origin	nguồn gốc
origin	nguồn gốc
ornament	trang trí
ornament	trang trí
orphan	mồ côi
orphan	mồ côi
other	khác
other	khác
out	ngoài
out	ngoài
outcome	kết quả
outcome	kết quả
outline	đề cương
outline	đề cương
output	sản phẩm
output	sản phẩm
outside	bên ngoài
outside	bên ngoài
outstanding	xuất sắc
outstanding	xuất sắc
oven	lò nướng
oven	lò nướng
over	qua
over	qua
overall	toàn bộ
overall	toàn bộ
overcome	vượt qua
overcome	vượt qua
overlook	nhìn lơ đi
overlook	nhìn lơ đi
overseas	ở nước ngoài
overseas	ở nước ngoài
owl	con cú
owl	con cú
own	sở hữu
own	sở hữu
oxygen	ôxy
oxygen	ôxy
pace	bước chân
pack	gói
page	trang
pain	đau
paint	sơn
pair	đôi
palace	cung điện
pale	nhợt nhạt
palm	lòng bàn tay
pamphlet	tờ rơi
pan	chảo
panel	bảng điều khiển
panic	hoảng loạn
paper	giấy
parade	cuộc diễu hành
parcel	gói hàng
pardon	tha thứ
parent	bậc cha mẹ
park	công viên
parliament	quốc hội
part	phần
participate	tham gia
party	bữa tiệc
pass	vượt qua
passage	hành lang
passenger	hành khách
passion	đam mê
passport	hộ chiếu
past	quá khứ
patience	lòng kiên nhẫn
pattern	mẫu
pause	tạm nghỉ
pay	trả
peace	hòa bình
peach	quả đào
peak	đỉnh
peanut	lạc
pearl	ngọc trai
peasant	nông dân
peculiar	kỳ lạ
pedal	bàn đạp
peek	nhìn lén
peer	đồng trang lứa
pen	bút
pencil	bút chì
people	người
pepper	hạt tiêu
perfect	hoàn hảo
perform	biểu diễn
perfume	nước hoa
peril	nguy hiểm
period	kỳ
permanent	vĩnh viễn
permission	sự cho phép
permit	giấy phép
persist	kiên trì
person	người
persuade	thuyết phục
pet	thú cưng
phase	giai đoạn
philosophy	triết học
phone	điện thoại
photograph	ảnh
phrase	ngữ cụ
physical	vật lý
pick	chọn
picture	bức tranh
pie	bánh
piece	miếng
pig	lợn
pilot	phi công
pin	châm
pink	hồng
pioneer	người tiên phong
pity	lòng thương hại
place	địa điểm
plan	kế hoạch
planet	hành tinh
plastic	nhựa
plate	đĩa
platform	sân ga
play	chơi
pleasure	niềm vui
plenty	nhiều
plot	đồ thị
plunge	lao xuống
poem	bài thơ
point	điểm
poison	độc tố
pole	cột
police	cảnh sát
policy	chính sách
polish	làm sáng bóng
poll	bảng thăm dò
pond	ao
pool	hồ bơi
pop	nhảy lên
popular	phổ biến
portion	phần
portrait	chân dung
pose	đặt tư thế
position	vị trí
positive	tích cực
possess	sở hữu
possibility	khả năng
possible	có thể
post	bưu điện
postpone	trì hoãn
pot	nồi
potato	khoai tây
potential	tiềm năng
pound	bảng Anh
pour	rót
poverty	nghèo đói
powder	bột
powerful	mạnh mẽ
practical	thực tế
practice	thực hành
praise	khen ngợi
pray	cầu nguyện
preach	thuyết giáo
precaution	biện pháp phòng ngừa
precede	đứng trước
precise	chính xác
predict	dự đoán
prefer	ưa thích
pregnant	mang thai
prejudice	định kiến
premier	thủ tướng
prepare	chuẩn bị
presence	sự hiện diện
present	hiện tại
preserve	bảo quản
preside	chủ tịch
press	báo chí
pressure	áp lực
prettiness	vẻ đẹp
prevail	thắng thế
prevent	ngăn chặn
previous	trước đó
price	giá cả
pride	tự hào
primary	chính
